reported_draw_year,model_target_year,source_family,hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,draw_pool,draw_method,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio,source_file,source_path,source_sha256,source_pdf_page
2023,2024,TURKEY_BONUS,TK1018,826,Pahvant Ensign - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,16,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,8
2023,2024,TURKEY_BONUS,TK1018,826,Pahvant Ensign - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,17,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,8
2023,2024,TURKEY_BONUS,TK1018,826,Pahvant Ensign - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,18,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,8
2023,2024,TURKEY_BONUS,TK1018,826,Pahvant Ensign - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,19,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,8
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,0,3,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,1,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,2,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,3,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,4,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,5,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,6,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,7,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,8,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,9,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,10,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,11,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,12,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,13,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,14,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,15,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,16,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,17,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,18,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Nonresident,19,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,0,18,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,1,12,0,1,1,1 in 12.0,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,2,9,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,3,8,0,1,1,1 in 8.0,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,4,2,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,5,4,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,6,2,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,7,5,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,8,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,9,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,10,2,2,0,2,1 in 1.0,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,11,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,12,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,13,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,14,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,15,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,16,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,17,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,18,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
2023,2024,TURKEY_BONUS,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,standard,bonus,Resident,19,0,0,0,0,N/A,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
