source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_year_instances_2025_2027,permit_count_2025,permit_count_2026,permit_count_2027,interpretation,year,permit_count_for_year
98,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Hunter's Choice,12666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
99,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Multiseason,14000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
100,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Multiseason,14000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
101,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Muzzleloader,9666.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
102,conservation,2025-2027,2026,Deer,Deer,Deer,"Fillmore, Oak Creek LE",Hunter's Choice,71250.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
103,conservation,2025-2027,2026,Deer,Deer,Deer,"Fillmore, Oak Creek LE",Multiseason,78000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
104,conservation,2025-2027,2026,Deer,Deer,Deer,"La Sal, Dolores Triangle",Multiseason,30000.0,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
105,conservation,2025-2027,2026,Deer,Deer,Deer,"San Juan, Elk Ridge",Archery,42000.0,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
106,conservation,2025-2027,2026,Deer,Deer,Deer,"San Juan, Elk Ridge",Hunter's Choice,60666.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
107,conservation,2025-2027,2026,Deer,Deer,Deer,"San Juan, Elk Ridge",Multiseason,67000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
108,conservation,2025-2027,2026,Deer,Deer,Deer,"San Juan, Elk Ridge",Muzzleloader,42000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
109,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Archery,14350.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
110,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Archery,14350.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
111,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Hunter's Choice,15416.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
112,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Hunter's Choice,15416.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
113,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Multiseason,17000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
114,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Multiseason,17000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
115,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Muzzleloader,14083.33,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
116,conservation,2025-2027,2026,Deer,Deer,Deer,"West Desert, Vernon",Muzzleloader,14083.33,DSC,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
117,conservation,2025-2027,2026,Deer,Deer,Deer,Statewide,,288333.33,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
118,conservation,2025-2027,2026,Elk,Elk,Elk,"Beaver, East","Any Legal Weapon, late",99000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
119,conservation,2025-2027,2026,Elk,Elk,Elk,"Beaver, East",Archery,74000.0,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
120,conservation,2025-2027,2026,Elk,Elk,Elk,"Beaver, East",Hunter's Choice,123333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
121,conservation,2025-2027,2026,Elk,Elk,Elk,"Beaver, East",Multiseason,184166.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
122,conservation,2025-2027,2026,Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East","Any Legal Weapon, late",11500.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
123,conservation,2025-2027,2026,Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Archery,15200.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
124,conservation,2025-2027,2026,Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Hunter's Choice,14250.0,DSC,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
125,conservation,2025-2027,2026,Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Multiseason,17666.67,WCF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
126,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,"Any Legal Weapon, late",53500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
127,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,"Any Legal Weapon, mid",46500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
128,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,Archery,46000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
129,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,Hunter's Choice,66666.67,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
130,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,Multiseason,71666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
131,conservation,2025-2027,2026,Elk,Elk,Elk,Boulder,Muzzleloader,46000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
132,conservation,2025-2027,2026,Elk,Elk,Elk,"Box Elder, Grouse Creek",Multiseason,13000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
133,conservation,2025-2027,2026,Elk,Elk,Elk,"Box Elder, Pilot Mtn",Multiseason,13000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
134,conservation,2025-2027,2026,Elk,Elk,Elk,"Cache, Meadowville","Any Legal Weapon, late",6500.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
135,conservation,2025-2027,2026,Elk,Elk,Elk,"Cache, Meadowville",Hunter's Choice,8383.33,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
136,conservation,2025-2027,2026,Elk,Elk,Elk,"Cache, Meadowville",Multiseason,6000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
137,conservation,2025-2027,2026,Elk,Elk,Elk,"Cache, South",Hunter's Choice,27000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
138,conservation,2025-2027,2026,Elk,Elk,Elk,"Cache, South",Multiseason,23000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
139,conservation,2025-2027,2026,Elk,Elk,Elk,Diamond Mtn,"Any Legal Weapon, late",17000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
140,conservation,2025-2027,2026,Elk,Elk,Elk,Diamond Mtn,"Any Legal Weapon, mid",15000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
141,conservation,2025-2027,2026,Elk,Elk,Elk,Diamond Mtn,Archery,13000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
142,conservation,2025-2027,2026,Elk,Elk,Elk,Diamond Mtn,Hunter's Choice,21166.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
143,conservation,2025-2027,2026,Elk,Elk,Elk,Diamond Mtn,Multiseason,24500.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
144,conservation,2025-2027,2026,Elk,Elk,Elk,"Fillmore, Pahvant","Any Legal Weapon, late",29000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
145,conservation,2025-2027,2026,Elk,Elk,Elk,"Fillmore, Pahvant",Archery,22000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
146,conservation,2025-2027,2026,Elk,Elk,Elk,"Fillmore, Pahvant",Hunter's Choice,36416.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
147,conservation,2025-2027,2026,Elk,Elk,Elk,"Fillmore, Pahvant",Multiseason,45666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
148,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, late",21500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
149,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, mid",18500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
150,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Archery,15500.0,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
151,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Hunter's Choice,26625.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
152,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Hunter's Choice,26625.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
153,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Multiseason,34750.0,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
154,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Multiseason,34750.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
155,conservation,2025-2027,2026,Elk,Elk,Elk,Fishlake/Thousand Lakes,Muzzleloader,18666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
156,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, late",15000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
157,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, mid",13500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
158,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Archery,15266.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
159,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Hunter's Choice,19000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
160,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Hunter's Choice,19000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
161,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Multiseason,20833.33,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
162,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Multiseason,20833.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
163,conservation,2025-2027,2026,Elk,Elk,Elk,"La Sal, La Sal Mtns",Muzzleloader,16000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
164,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,"Any Legal Weapon, late",28000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
165,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,"Any Legal Weapon, mid",24500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
166,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Archery,21033.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
167,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Hunter's Choice,34875.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
168,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Hunter's Choice,34875.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
169,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Multiseason,45000.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
170,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Multiseason,45000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
171,conservation,2025-2027,2026,Elk,Elk,Elk,Manti,Muzzleloader,22000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
172,conservation,2025-2027,2026,Elk,Elk,Elk,Monroe,"Any Legal Weapon, late",52000.0,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
173,conservation,2025-2027,2026,Elk,Elk,Elk,Monroe,Archery,39000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
174,conservation,2025-2027,2026,Elk,Elk,Elk,Monroe,Hunter's Choice,65000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
175,conservation,2025-2027,2026,Elk,Elk,Elk,Monroe,Multiseason,70333.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
176,conservation,2025-2027,2026,Elk,Elk,Elk,Mt Dutton,"Any Legal Weapon, late",38500.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
177,conservation,2025-2027,2026,Elk,Elk,Elk,Mt Dutton,Archery,29000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
178,conservation,2025-2027,2026,Elk,Elk,Elk,Mt Dutton,Hunter's Choice,48250.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
179,conservation,2025-2027,2026,Elk,Elk,Elk,Mt Dutton,Multiseason,62500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
180,conservation,2025-2027,2026,Elk,Elk,Elk,Nebo/San Pitch Mtns,"Any Legal Weapon, late",28500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
181,conservation,2025-2027,2026,Elk,Elk,Elk,Nebo/San Pitch Mtns,Archery,21500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
182,conservation,2025-2027,2026,Elk,Elk,Elk,Nebo/San Pitch Mtns,Hunter's Choice,35500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
183,conservation,2025-2027,2026,Elk,Elk,Elk,Nebo/San Pitch Mtns,Multiseason,41666.67,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
184,conservation,2025-2027,2026,Elk,Elk,Elk,"North Slope, Three Corners",Multiseason,17666.67,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
185,conservation,2025-2027,2026,Elk,Elk,Elk,Panguitch Lake,"Any Legal Weapon, late",48500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
186,conservation,2025-2027,2026,Elk,Elk,Elk,Panguitch Lake,Hunter's Choice,60833.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
187,conservation,2025-2027,2026,Elk,Elk,Elk,Panguitch Lake,Multiseason,80666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
188,conservation,2025-2027,2026,Elk,Elk,Elk,San Juan Bull Elk,"Any Legal Weapon, late",53000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
189,conservation,2025-2027,2026,Elk,Elk,Elk,San Juan Bull Elk,"Any Legal Weapon, mid",46500.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
190,conservation,2025-2027,2026,Elk,Elk,Elk,San Juan Bull Elk,Archery,40166.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
191,conservation,2025-2027,2026,Elk,Elk,Elk,San Juan Bull Elk,Hunter's Choice,66250.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
192,conservation,2025-2027,2026,Elk,Elk,Elk,San Juan Bull Elk,Multiseason,64000.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
193,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South","Any Legal Weapon, late",22500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
194,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South","Any Legal Weapon, mid",20000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
195,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South",Archery,20166.67,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
196,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South",Hunter's Choice,28333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
197,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South",Multiseason,38583.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
198,conservation,2025-2027,2026,Elk,Elk,Elk,"Southwest Desert, South",Multiseason,38583.33,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
